name,city,state,state_full,type,tags,location_source,description
100 Stones Interactive,Melbourne,VIC,Victoria,Studio,Indie,profile_page,"100 Stones Interactive is a Brisbane based, one-man independent games studio, founded and run by Ben Droste, a veteran of the Australian games industry"
5 Lives Studios,Brisbane,QLD,Queensland,Studio,PC,fgfactory_confirmed,5 Lives Studios are a dedicated group of industry veterans with many years of experience.
Aristocrat,Sydney,NSW,New South Wales,Studio,,manual_fill_high,
Big Ant Studios,Melbourne,VIC,Victoria,Studio,Console|PC,fgfactory_confirmed,
Big Dumb Fun Games,Sydney,NSW,New South Wales,Studio,Indie,profile_page,Big Dumb Fun Games is a start-up indie games development business.
Black Lab Games,Leederville,WA,Western Australia,Studio,PC,profile_page,Developers of sci-fi strategy games.
Blowfish Studios,Sydney,NSW,New South Wales,Publisher,Indie,description_inferred,"Blowfish Studios is an independent developer and publisher based in Sydney, Australia."
Blue Manchu,Canberra,ACT,Australian Capital Territory,Studio,Indie,profile_page,"We make innovative strategy games! Right now, we're making Void Bastards. Before that we made Card Hunter."
CloudBNE,Brisbane,QLD,Queensland,Studio,,manual_fill_med,"Developers of the iOS game, Sushi'd."
Con Artist Games,Melbourne,VIC,Victoria,Studio,,manual_fill_med,Company behind the Last Stand and Warfare series of games. Currently working on The Last Stand: Aftermath
DPS Games,Sydney,NSW,New South Wales,Studio,PC,profile_page,We make action packed video games.
Dreamgate Studios,Canberra,ACT,Australian Capital Territory,Studio,,description_inferred,"Dreamgate Studios is an independent developer based in Canberra, Australia."
Electronic Arts,Melbourne,VIC,Victoria,Publisher,,manual_fill_high,"At Electronic Arts, we exist to Inspire the World to Play."
Epiphany Games,Sydney,NSW,New South Wales,Studio,,manual_fill_high,Epiphany Games was established in late 2004. The company specializes in creating games with a unique story and setting.
Fellow Traveller Games,Melbourne,VIC,Victoria,Publisher,,profile_page,Indie narrative games publisher. On a journey to discover innovative story-driven games.
Firemonkeys Studios,Melbourne,VIC,Victoria,Studio,Mobile,fgfactory_confirmed,Created in 2012 after a merger between Firemint and Iron Monkey Studios.
Five Star Games,Sydney,NSW,New South Wales,Other,Hardware,manual_fill_med,"Australian Video Games Distributor for ATLUS, SEGA, Focus Home Interactive, Sold Out, Solutions2Go, U&I, Turtle Beach, Roccat & more!"
Gameloft,Brisbane,QLD,Queensland,Publisher,,manual_fill_high,We are Gameloft and our greatest reward is seeing that 2.8 million new Gameloft games are downloaded every day.
Greenheart Games,Brisbane,QLD,Queensland,Studio,PC,manual_fill_high,"Creators of GameDev Tycoon, currently hard at work on TavernKeeper."
Halfbrick Studios,Kelvin Grove,QLD,Queensland,Studio,Console,profile_page,"Australian creators of Fruit Ninja, Jetpack Joyride and more mobile mega-hits!"
Imagination Games,Sydney,NSW,New South Wales,Studio,,manual_fill_med,"Today Imagination is an entrepreneurial global games & entertainment company with offices and distribution in United States, United Kingdom & Australia."
Ingenious Concepts,,,,Studio,,,"A modern and agile gaming company with the best international network, providing one of the best mobile gaming experiences."
Insert Disk 22,Melbourne,VIC,Victoria,Studio,,profile_page,Insert Disk 22 is a game development studio currently making the cyberpunk point-and-click adventure
Interactive Games & Entertainment Association,Sydney,NSW,New South Wales,Organisation,Association,manual_fill_high,IGEA (Interactive Games & Entertainment Association) is an independent industry association representing the business and public policy interests of Australian and New Zealand companies in the computer and video game industry.
InvertMouse,Sydney,NSW,New South Wales,Studio,,profile_page,"""Best games ever made!"" - Mummy"
KIXEYE,Brisbane,QLD,Queensland,Studio,Mobile,manual_fill_high,The battle has begun. Swipe & Destroy!
Krome Studios,Brisbane,QLD,Queensland,Studio,,manual_fill_high,Krome Studios is one of the largest and oldest continuously-operating video game development companies in Australia. It is most recently known for developing Game Room for the Xbox 360.
Kumobius,Melbourne,VIC,Victoria,Studio,,manual_fill_high,Kumobius is an Australian independent developer.
League of Geeks,Melbourne,VIC,Victoria,Studio,PC,manual_fill_high,"Crafting inspiring videogames and enthralling worlds, with exceptional people."
Massive Monster,Melbourne,VIC,Victoria,Studio,Service,profile_page,"Massive Monster is an independent game development studio, creating games bursting with creativity and with a core focus on personality and play."
Micro Forté,Canberra,ACT,Australian Capital Territory,Studio,,manual_fill_high,
MicroProse,,,,Publisher,,,
Mini Mammoth Games,Adelaide,SA,South Australia,Studio,Mobile,fgfactory_confirmed,We work creatively so that you can work productively!
N3V Games,Helensvale,QLD,Queensland,Publisher,,profile_page,N3VRF4IL is a publishing entity and brand created by Auran Games in 2006.
Nintendo Australia,Melbourne,VIC,Victoria,Publisher,,manual_fill_high,
Playtika,Sydney,NSW,New South Wales,Studio,Mobile,manual_fill_med,Creating Infinite Ways to Play.
Right Pedal Studios,Brisbane,QLD,Queensland,Studio,,description_inferred,"A video game publisher based in Brisbane, Australia."
Samurai Punk,Melbourne,VIC,Victoria,Other,Indie|PC,profile_page,Dangerously great games and radical merch.
Sledgehammer Games,Melbourne,VIC,Victoria,Studio,,manual_fill_high,"Game Makers. Team behind CODWWII, Advanced Warfare & MW3."
Take-Two Interactive,Sydney,NSW,New South Wales,Publisher,,manual_fill_high,"Headquartered in New York City, Take-Two Interactive Software, is a leading developer, publisher and marketer of interactive entertainment for consumers around the globe."
Tantalus Media,Melbourne,VIC,Victoria,Studio,PC,manual_fill_high,"From Manx TT Superbike to Top Gear Rally, Unreal 2 and MX vs ATV, we've worked on every major platform since the SNES."
Team Bondi,Sydney,NSW,New South Wales,Studio,,manual_fill_high,Team Bondi was an independent studio formed by former Sony Affiliated Team Soho Studio. The company closed down in October 2011 following bad press over working conditions.
Team Cherry,Adelaide,SA,South Australia,Other,Indie|PC,profile_page,"Our mission is to build crazy, exciting worlds for you to explore and conquer."
Tin Man Games,Melbourne,VIC,Victoria,Studio,,description_inferred,"Tin Man Games is a video games studio based in Melbourne, Australia. They are known for creating the iOS franchises 'Frootrees' and 'Gamebook Adventures'."
Torus Games,Melbourne,VIC,Victoria,Studio,Console|PC,description_inferred,"An independent game development studio based in Melbourne, Australia."
Ubisoft Australia,Ultimo,NSW,New South Wales,Studio,,profile_page,
Upper Class Walrus,,,,Studio,,,"Games for everyone! Previously: Fort Meow, Currently: Soda Story - Brewing Tycoon - OUT NOW!"
Wicked Workshop,Melbourne,VIC,Victoria,Other,,fgfactory_confirmed,Games Developer
Wix Games,Brighton,VIC,Victoria,Studio,Indie,profile_page,"An indie game development team based in Brighton, UK."
ustwo,,,,Studio,,,"ustwo is a global digital product studio launching products, services and companies that make a meaningful impact on the world."
Playside Studios,Melbourne,VIC,Victoria,Studio,Mobile|PC,fgfactory_new,
Zero Latency,Melbourne,VIC,Victoria,Studio,VR,fgfactory_new,
Grease Monkey Games,Melbourne,VIC,Victoria,Studio,PC|Mobile,fgfactory_new,
Hipster Whale,Melbourne,VIC,Victoria,Studio,Mobile,fgfactory_new,
GOATi Entertainment,Melbourne,VIC,Victoria,Studio,PC|Mobile,fgfactory_new,
Infinity Plus Two,Melbourne,VIC,Victoria,Studio,Mobile|PC,fgfactory_new,
Playcorp,Melbourne,VIC,Victoria,Studio,PC|Console,fgfactory_new,
Mighty Games,Melbourne,VIC,Victoria,Studio,Mobile|Console,fgfactory_new,
Desert Beagle,Melbourne,VIC,Victoria,Studio,PC,fgfactory_new,
Bin Chicken,Melbourne,VIC,Victoria,Studio,PC|Mobile|Indie,fgfactory_new,
3 Sprockets,Melbourne,VIC,Victoria,Studio,PC|Console|Mobile,fgfactory_new,
Catch Weight Studio,Melbourne,VIC,Victoria,Studio,Console|PC,fgfactory_new,
Convict Games,Melbourne,VIC,Victoria,Studio,Console|PC,fgfactory_new,
Drop Bear Bytes,Melbourne,VIC,Victoria,Studio,Console|PC,fgfactory_new,
Espire VR,Melbourne,VIC,Victoria,Studio,VR,fgfactory_new,
House House,Melbourne,VIC,Victoria,Studio,Console|PC|Indie,fgfactory_new,
Lumi Interactive,Melbourne,VIC,Victoria,Studio,Mobile,fgfactory_new,
Onerat Games,Melbourne,VIC,Victoria,Studio,PC|Console,fgfactory_new,
Toybox Games,Melbourne,VIC,Victoria,Studio,PC,fgfactory_new,
Panda Arcade,Melbourne,VIC,Victoria,Studio,Mobile,fgfactory_new,
Paper House Games,Melbourne,VIC,Victoria,Studio,PC|Mobile,fgfactory_new,
SMG Studio,Sydney,NSW,New South Wales,Studio,Console|PC|Mobile,fgfactory_new,
Not Doppler,Sydney,NSW,New South Wales,Studio,Mobile,fgfactory_new,
Beam Team Games,Brisbane,QLD,Queensland,Studio,Console|PC,fgfactory_new,
Flow Studio,Brisbane,QLD,Queensland,Studio,PC,fgfactory_new,
Defiant Development,Brisbane,QLD,Queensland,Studio,Console|PC,fgfactory_new,
Spunge Games,Brisbane,QLD,Queensland,Studio,Mobile,fgfactory_new,
Witch Beam,Brisbane,QLD,Queensland,Studio,PC|Console,fgfactory_new,
Side Bar Games,Brisbane,QLD,Queensland,Studio,Console,fgfactory_new,
Mighty Kingdom,Adelaide,SA,South Australia,Studio,PC|Mobile,fgfactory_new,
Foxie Ventures,Adelaide,SA,South Australia,Studio,Mobile,fgfactory_new,
Odd Games,Adelaide,SA,South Australia,Studio,Mobile,fgfactory_new,
Uppercut Games,Canberra,ACT,Australian Capital Territory,Studio,Console|PC|Mobile,fgfactory_new,
Toast Interactive,Gold Coast,QLD,Queensland,Studio,VR|PC,fgfactory_new,
Fgfactory Australia,Melbourne,VIC,Victoria,Service,Mobile|Web|Desktop,fgfactory_new,
Art Of Play,Melbourne,VIC,Victoria,Service,Console|HTML5,fgfactory_new,
Next-Gen Dreams 3D,Melbourne,VIC,Victoria,Service,PC,fgfactory_new,
Ultimerse,Melbourne,VIC,Victoria,Service,VR,fgfactory_new,
Lode,Melbourne,VIC,Victoria,Service,VR,fgfactory_new,
Od1n Studios,Melbourne,VIC,Victoria,Service,VR,fgfactory_new,
Chaos Theory Games,Sydney,NSW,New South Wales,Service,PC,fgfactory_new,
Noble Steed Games,Sydney,NSW,New South Wales,Service,Promo|Educational,fgfactory_new,
Mode Games,Sydney,NSW,New South Wales,Service,Mobile|Educational,fgfactory_new,
Real Serious Games,Brisbane,QLD,Queensland,Service,XR,fgfactory_new,
Emerge Worlds,Brisbane,QLD,Queensland,Service,VR,fgfactory_new,
Monkey Stack,Adelaide,SA,South Australia,Service,Gamified Apps,fgfactory_new,
Secret Lab,Hobart,TAS,Tasmania,Service,Adventure|Educational,fgfactory_new,
